 Hz,A
        965.00000000,           .26883586
        966.00000000,           .26855771
        967.00000000,           .26828012
        968.00000000,           .26800311
        969.00000000,           .26772667
        970.00000000,           .26745080
        971.00000000,           .26717550
        972.00000000,           .26690076
        973.00000000,           .26662659
        974.00000000,           .26635298
        975.00000000,           .26607994
        976.00000000,           .26580745
        977.00000000,           .26553551
        978.00000000,           .26526414
        979.00000000,           .26499332
        980.00000000,           .26472305
        981.00000000,           .26445333
        982.00000000,           .26418416
        983.00000000,           .26391554
        984.00000000,           .26364746
        985.00000000,           .26337992
        986.00000000,           .26311293
        987.00000000,           .26284648
        988.00000000,           .26258057
        989.00000000,           .26231520
        990.00000000,           .26205036
        991.00000000,           .26178605
        992.00000000,           .26152228
        993.00000000,           .26125904
        994.00000000,           .26099633
        995.00000000,           .26073415
        996.00000000,           .26047249
        997.00000000,           .26021135
        998.00000000,           .25995074
        999.00000000,           .25969066
       1000.00000000,           .25943109
       1001.00000000,           .25917204
       1002.00000000,           .25891350
       1003.00000000,           .25865548
       1004.00000000,           .25839798
       1005.00000000,           .25814098
       1006.00000000,           .25788450
       1007.00000000,           .25762853
       1008.00000000,           .25737306
       1009.00000000,           .25711810
       1010.00000000,           .25686364
       1011.00000000,           .25660969
       1012.00000000,           .25635624
       1013.00000000,           .25610329
       1014.00000000,           .25585084
       1015.00000000,           .25559888
       1016.00000000,           .25534742
       1017.00000000,           .25509646
       1018.00000000,           .25484598
       1019.00000000,           .25459600
       1020.00000000,           .25434651
       1021.00000000,           .25409751
       1022.00000000,           .25384899
       1023.00000000,           .25360096
       1024.00000000,           .25335341
       1025.00000000,           .25310635
       1026.00000000,           .25285977
       1027.00000000,           .25261366
       1028.00000000,           .25236804
       1029.00000000,           .25212289
       1030.00000000,           .25187822
       1031.00000000,           .25163402
       1032.00000000,           .25139030
       1033.00000000,           .25114705
       1034.00000000,           .25090426
       1035.00000000,           .25066195
       1036.00000000,           .25042010
       1037.00000000,           .25017872
       1038.00000000,           .24993781
       1039.00000000,           .24969736
       1040.00000000,           .24945737
       1041.00000000,           .24921784
       1042.00000000,           .24897877
       1043.00000000,           .24874016
       1044.00000000,           .24850200
       1045.00000000,           .24826430
       1046.00000000,           .24802706
